도서명,저자,출판사,장르(KDC),1순위_장르보정점수,2순위_지역특화점수,3순위_AI체급점수,🔥최종종합점수,AI분석소평
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,400번대,100.0,100.0,97.2,98.9,전국구 베스트셀러 작가(룰루 밀러 지음)의 신작입니다. 대표 출판사(곰출판)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,400번대,100.0,100.0,93.7,97.5,전국구 베스트셀러 작가(흔한남매)의 신작입니다. 대표 출판사(미래엔)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,400번대,100.0,100.0,92.9,97.2,전국구 베스트셀러 작가(글·신태훈)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
