ISBN,bookname,authors,publisher,total_loans,best_rank,class_no,category
9788936434120 ,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,95116,1,813.62,문학
9791161571188 ,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,84832,1,813.7,문학
9788954682152 ,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,79969,2,813.62,문학
9791161571379 ,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,61735,10,813.7,문학
9788998441012 ,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,58110,23,813.62,문학
9788954681155 ,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,57670,15,813.7,문학
9788936433598 ,채식주의자:한강 연작소설,한강,창비,54566,14,813.6,문학
9791130646381 ,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,54056,22,843.6,문학
9788936438838 ,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,51623,24,813.62,문학
9788954677158 ,긴긴밤 ,루리 글·그림,문학동네,50931,102,813.7,문학
9791192300818 ,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,48911,14,165.47,비문학
9788954681179 ,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,47608,10,813.7,문학
9791165341909 ,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,47363,27,813.7,문학
9791189327156 ,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,44822,13,490.99,비문학
9791167740984 ,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),44097,128,181.27,비문학
9788936434595 ,채식주의자 :한강 장편소설 ,지은이: 한강,창비,43801,13,813.62,문학
9791191824001 ,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),43219,21,813.7,문학
9791188331796 ,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),42545,22,327.04,비문학
9791168473690 ,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,41587,11,325.211,비문학
9788901276533 ,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,41514,155,848,문학
9791141601300 ,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,41315,655,813.7,문학
9788949123493 ,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,40883,27,813.7,문학
9791192389325 ,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ,벤저민 하디 지음 ;최은아 옮김,상상스퀘어,40551,18,325.211,비문학
9791191891287 ,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,40473,12,813.7,문학
9791168416369 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,40440,28,810,문학
9791164138197 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,40390,29,810,문학
9791191056372 ,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,40050,25,327.04,비문학
9791164134267 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,40048,28,810,문학
9791164131686 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,39968,30,810,문학
9791130698199 ,맡겨진 소녀 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 허진,다산북스,39961,17,843.6,문학
9791168411685 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,39899,33,810,문학
9791168415232 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,39874,35,810,문학
9791164135592 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,39844,31,810,문학
9791168412477 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,39705,35,810,문학
9791197377143 ,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,39481,20,813.7,문학
9791190090261 ,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,39314,28,813.7,문학
9788936434267 ,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,39297,25,813.7,문학
9788956609959 ,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,39151,38,813.7,문학
9791168414471 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,38952,40,810,문학
9791164134847 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,38938,36,810,문학
9791164139897 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,38679,45,810,문학
9788954695053 ,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,38573,16,813.7,문학
9791164137527 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,38549,42,810,문학
9791164132454 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,38418,39,810,문학
9791164136261 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,37949,45,810,문학
9791168417199 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,37892,30,810,문학
9788936447694 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,37198,50,813.7,문학
9791161571768 ,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,36818,20,813.7,문학
9791167370280 ,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,36598,37,813.7,문학
9788937473401 ,급류 :정대건 장편소설 ,지은이: 정대건,민음사,35446,14,813.7,문학
9788954646079 ,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,35136,145,813.7,문학
9791190090018 ,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,35063,54,813.7,문학
9791192579504 ,바다가 들리는 편의점 ,마치다 소노코 지음 ;황국영 옮김,바이포엠 스튜디오,34712,119,833.6,문학
9791191043754 ,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,34684,49,833.6,문학
9791162540640 ,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,34394,42,181.845,비문학
9788936447861 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,34134,55,813.7,문학
9788972756194 ,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,34053,100,833.6,문학
9791190337755 ,죽이고 싶은 아이 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,33852,66,813.7,문학
9788954616515 ,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,33594,121,813.62,문학
9791198517425 ,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기 ,지은이: 모건 하우절 ;옮긴이: 이수경,서삼독,33204,73,327.04,비문학
9791168415409 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,33100,69,400,비문학
9791164137121 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,33094,106,400,비문학
9791165343729 ,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,33039,130,813.7,문학
9791168418011 ,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,32658,274,810,문학
9788934972464 ,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,32616,111,909,비문학
9791164136032 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,32590,125,400,비문학
9788925588735 ,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),32562,114,843.6,문학
9788936448523 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,32407,104,813.7,문학
9788936448011 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,32315,100,813.7,문학
9788936448370 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,32297,109,813.7,문학
9791168127630 ,비스킷 ,글: 김선미,위즈덤하우스,32138,112,813.7,문학
9791164137923 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31994,132,400,비문학
9788936439743 ,혼모노 :성해나 소설집 ,지은이: 성해나,창비,31954,26,813.7,문학
9788934980254 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,31730,141,400,비문학
9791168412248 ,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,31719,117,813.5,문학
9788934989257 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,31685,151,400,비문학
9791168411852 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31675,124,400,비문학
9791168413931 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31666,110,400,비문학
9791169851053 ,어른의 행복은 조용하다 ,글: 태수,페이지2북스,31589,10,818,문학
9791168416598 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31528,113,400,비문학
9788954697941 ,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,31462,16,813.7,문학
9788954650212 ,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,31400,110,813.7,문학
9788954654753 ,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,31365,109,813.7,문학
9791191114225 ,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,31310,124,813.62,문학
9788970129815 ,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,31236,192,843.6,문학
9791168414822 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31226,106,400,비문학
9791168410848 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31181,140,400,비문학
9791164138982 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,31148,111,400,비문학
9791168415034 ,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,31046,134,813.5,문학
9791168413955 ,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,31023,142,813.5,문학
9791168416314 ,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,30971,107,813.5,문학
9788936448134 ,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,30918,122,813.7,문학
9788934979814 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,30868,107,400,비문학
9788954672214 ,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,30712,125,813.7,문학
9788998441074 ,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,30569,207,813.62,문학
9791190409124 ,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,30551,101,813.7,문학
9788934944546 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,30507,115,400,비문학
9791191043297 ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,30232,115,833.6,문학
9791167550972 ,당연하게도 나는 너를 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,30038,105,813.7,문학
9788954651134 ,흰 :한강 소설 ,지은이: 한강,문학동네,29627,15,813.62,문학
9788936446819 ,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,29350,114,813.7,문학
9788954694575 ,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,29318,108,813.7,문학
9788954699075 ,도시와 그 불확실한 벽 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,29222,26,833.6,문학
9788934983439 ,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,29195,108,None,비문학
9788936439651 ,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,28826,12,813.7,문학
9791168415539 ,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,28750,104,472,비문학
9791168414488 ,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,28617,244,400,비문학
9788934946625 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,28561,115,400,비문학
9788932020006 ,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,28499,198,813.62,문학
9791195794799 ,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,28403,105,911,비문학
9788934930549 ,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,28372,111,None,비문학
9788934940753 ,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,28244,118,None,비문학
9788954699372 ,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,28223,174,813.7,문학
9791168415355 ,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,28144,129,980.2,비문학
9791158510619 ,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),28122,201,325.211,비문학
9791190409131 ,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,28058,119,813.7,문학
9791167374561 ,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,28042,159,813.7,문학
9791168340510 ,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,27927,106,843.6,문학
9791191056556 ,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,27686,102,843.6,문학
9791168415577 ,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,27669,132,810,문학
9788952240569 ,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,27661,168,843.6,문학
9791170611561 ,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,27633,234,833.6,문학
9788934946793 ,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,27578,121,None,비문학
9791190409148 ,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,27506,120,813.7,문학
9791162203620 ,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,27452,103,813.7,문학
9788997575169 ,원씽 :복잡한 세상을 이기는 단순함의 힘 ,"게리 켈러,구세희 옮김",비즈니스북스,27408,190,325.04,비문학
9788901260716 ,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,27339,372,325.211,비문학
9791165347734 ,연남동 빙굴빙굴 빨래방 :김지윤 장편소설 ,지은이: 김지윤,팩토리나인,27220,100,813.7,문학
9791165347161 ,나의 돈 많은 고등학교 친구 :슈퍼리치와의 대화에서 찾아낸 부자의 길 ,송희구 지음,서삼독,26865,116,325.211,비문학
9788956608556 ,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,26841,110,813.7,문학
9788970129822 ,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,26811,306,843.6,문학
9791168411029 ,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,26807,128,472,비문학
